player_id,player_name,total_pitches,swings,hits,pulled_fb%,ba,iso,babip,slg,xwoba,launch_speed,launch_angle,spin_rate,velocity,effective_speed
663656,Kyle Tucker,2570,55,23,2.1,0.460,1.280,0.059,1.740,0.655,94.6,35.5,2135,87.4,87.39
664056,Harrison Bader,1238,26,7,2.1,0.280,0.640,0.095,0.920,0.45,92.1,35.5,2314,88.2,88.51
681807,David Fry,431,9,5,2.1,0.556,1.444,0.200,2.000,0.739,99,33.9,2067,88,88.1
592669,Hunter Renfroe,2107,45,17,2.1,0.386,1.068,0.067,1.455,0.532,94,35,2363,84.9,85.03
642350,Jose Siri,1340,28,17,2.1,0.607,1.643,0.154,2.250,0.78,98.5,34.6,2259,88.2,88.4
686527,Dominic Canzone,605,13,6,2.1,0.462,1.385,0.000,1.846,0.694,98.6,35.4,2289,90.2,90.57
642215,Weston Wilson,96,2,1,2.1,0.500,1.500,0.000,2.000,0.945,89.4,40,2291,85.6,85.95
571970,Max Muncy,2485,53,29,2.1,0.569,1.569,0.111,2.137,0.827,98.8,35.1,2276,87.6,87.93
641796,Tim Locastro,238,5,2,2.1,0.400,0.600,0.250,1.000,0.714,81,37,1885,81.1,81.06
686681,Michael Massey,1841,39,17,2.1,0.447,1.184,0.120,1.632,0.616,94.7,36.9,2249,87.3,87.94
662139,Daulton Varsho,2313,46,17,2,0.370,1.000,0.094,1.370,0.571,95,36.7,2183,88.9,89.37
643393,Tony Kemp,1481,29,9,2,0.333,0.667,0.167,1.000,0.263,89.7,35.1,2302,90.3,90.64
656775,Cedric Mullins,1782,36,15,2,0.441,1.235,0.087,1.676,0.441,92.7,36.6,2319,89.7,89.8
623993,Anthony Santander,2764,55,28,2,0.519,1.241,0.206,1.759,0.69,96.6,33.8,2246,89.2,89.51
621550,Patrick Wisdom,1318,26,14,2,0.538,1.385,0.143,1.923,0.817,97.7,34.8,2243,88.2,88.21
596019,Francisco Lindor,2741,54,24,2,0.471,1.294,0.091,1.765,0.603,96.8,35.8,2165,89,89.25
665120,Jared Walsh,459,9,3,2,0.333,0.667,0.143,1.000,0.36,89.7,39.2,2224,90.6,91.28
679529,Spencer Torkelson,2814,55,29,2,0.527,1.364,0.161,1.891,0.841,97.2,33.7,2234,87.2,87.4
641598,Mitch Garver,1430,29,13,2,0.448,1.241,0.059,1.690,0.679,94.2,37.3,2245,86.4,86.57
669127,Shea Langeliers,1921,38,17,2,0.447,1.237,0.087,1.684,0.707,98.3,37.8,2289,88.1,88.41
669087,Sam Huff,159,3,2,1.9,0.667,2.000,0.000,2.667,1.223,101.6,34.7,2215,82.5,82.4
656185,Greg Allen,106,2,2,1.9,1.000,2.000,1.000,3.000,0.287,94.8,28,2222,95.1,96.8
663743,Nick Fortes,1129,21,5,1.9,0.238,0.714,0.000,0.952,0.37,90.9,40.3,2328,85.1,85.2
453568,Charlie Blackmon,1518,29,8,1.9,0.276,0.828,0.000,1.103,0.443,93.4,38.7,2288,85.9,86.55
641680,Jonah Heim,1996,37,16,1.9,0.457,1.143,0.125,1.600,0.644,94.6,35,2353,87.5,87.66
676480,Jose Barrero,584,11,5,1.9,0.455,0.636,0.333,1.091,0.676,86.5,37.2,2302,88.4,88.85
642731,Thairo Estrada,1923,37,18,1.9,0.486,1.108,0.240,1.595,0.607,94.1,33.4,2221,86.8,87.08
542303,Marcell Ozuna,2366,44,24,1.9,0.545,1.523,0.091,2.068,0.834,98.3,36.7,2245,87.6,87.94
668670,Jake Rogers,1432,27,18,1.9,0.667,1.852,0.182,2.519,0.945,99.1,32.3,2158,88.3,88.45
621466,DJ Stewart,748,14,9,1.9,0.643,1.786,0.167,2.429,0.906,99.3,35.1,2245,88.3,88.18
657041,Lane Thomas,2627,50,22,1.9,0.449,1.224,0.097,1.673,0.664,97,35.2,2345,87.6,87.93
641584,Jake Fraley,1420,27,13,1.9,0.481,1.259,0.125,1.741,0.547,92.9,34.1,2159,89.6,89.92
596847,Ji Man Choi,517,10,5,1.9,0.556,1.222,0.286,1.778,0.817,102.2,36.2,2466,87.4,86.53
446334,Evan Longoria,927,18,8,1.9,0.500,1.500,0.000,2.000,0.796,101.1,36.8,2324,87.9,87.99
676761,Irving Lopez,52,1,0,1.9,,,0,,0.023,81.4,40,2378,98.8,98.7
455117,Martín Maldonado,1584,29,15,1.8,0.517,1.276,0.176,1.793,0.652,94,35.4,2365,86.8,86.93
658668,Edward Olivares,1420,26,11,1.8,0.44,1.12,0.118,1.56,0.633,93,34.8,2346,84.5,84.88
656941,Kyle Schwarber,3068,55,27,1.8,0.5,1.463,0.034,1.963,0.756,96.7,33.7,2244,87.9,87.93
641432,Willie Calhoun,562,10,3,1.8,0.3,0.9,0,1.2,0.327,88.5,40,2244,89.3,89.76
596142,Gary Sánchez,1091,20,12,1.8,0.6,1.6,0.2,2.2,0.803,97.7,34,2278,87,87.37
592696,Eddie Rosario,1908,34,18,1.8,0.529,1.265,0.238,1.794,0.67,94.9,34,2103,88.7,88.97
