bad_name,Name,player_id,Season,Age,50th_max_velo,P/PA,b_total_pitches,pa
"Outman, James",James Outman,681546,2023,26,100.0,4.15,2352,567
"Davis, J.D.",J.D. Davis,605204,2023,30,101.4,3.83,2092,546
"Tucker, Kyle",Kyle Tucker,663656,2023,26,100.8,3.81,2570,674
"Bregman, Alex",Alex Bregman,608324,2023,29,98.1,3.85,2789,724
"Arenado, Nolan",Nolan Arenado,571448,2023,32,99.3,3.73,2285,612
"Jung, Josh",Josh Jung,673962,2023,25,101.6,3.84,1976,515
"Edman, Tommy",Tommy Edman,669242,2023,28,99.5,3.43,1809,528
"Ruiz, Keibert",Keibert Ruiz,660688,2023,24,97.3,3.36,1887,562
"Burger, Jake",Jake Burger,669394,2023,27,105.0,3.79,2048,540
"Díaz, Elias",Elias Díaz,553869,2023,32,100.0,3.77,1984,526
"Wade Jr., LaMonte",LaMonte Wade Jr.,664774,2023,29,99.5,4.05,2102,519
"Yelich, Christian",Christian Yelich,592885,2023,31,103.2,4.05,2559,632
"Taveras, Leody",Leody Taveras,665750,2023,24,100.6,3.80,2106,554
"Gurriel Jr., Lourdes",Lourdes Gurriel Jr.,666971,2023,29,99.9,3.74,2216,592
"Olson, Matt",Matt Olson,621566,2023,29,104.8,4.29,3092,720
"Yoshida, Masataka",Masataka Yoshida,807799,2023,29,100.1,3.79,2197,580
"Canha, Mark",Mark Canha,592192,2023,34,99.0,4.11,2085,507
"Alonso, Pete",Pete Alonso,624413,2023,28,102.3,3.90,2567,658
"Rooker Jr., Brent",Brent Rooker Jr.,667670,2023,28,102.7,4.09,2152,526
"Estrada, Thairo",Thairo Estrada,642731,2023,27,97.9,3.63,1923,530
"Hayes, Ke'Bryan",Ke'Bryan Hayes,663647,2023,26,101.7,3.67,1929,525
"Bichette, Bo",Bo Bichette,666182,2023,25,101.7,3.70,2225,601
"McKinstry, Zach",Zach McKinstry,656716,2023,28,97.7,4.08,2114,518
"Vierling, Matt",Matt Vierling,663837,2023,26,100.6,4.02,2133,530
"Hernández, Enrique",Enrique Hernández,571771,2023,31,97.8,3.87,1964,508
"Thomas, Lane",Lane Thomas,657041,2023,27,100.2,3.85,2627,682
"Straw, Myles",Myles Straw,664702,2023,28,95.1,3.84,1991,518
"Soto, Juan",Juan Soto,665742,2023,24,104.5,4.09,2897,708
"Soler, Jorge",Jorge Soler,624585,2023,31,103.1,3.99,2315,580
"Báez, Javier",Javier Báez,595879,2023,30,100.2,3.60,1970,547
"McMahon, Ryan",Ryan McMahon,641857,2023,28,102.0,4.37,2742,627
"Perez, Salvador",Salvador Perez,521692,2023,33,101.4,3.55,2061,580
"Riley, Austin",Austin Riley,663586,2023,26,103.4,4.00,2861,715
"Adames, Willy",Willy Adames,642715,2023,27,99.1,4.07,2596,638
"Lindor, Francisco",Francisco Lindor,596019,2023,29,100.8,3.99,2741,687
"Meneses, Joey",Joey Meneses,608841,2023,31,99.9,3.87,2543,657
"García, Adolis",Adolis García,666969,2023,30,102.9,4.05,2562,632
"Garcia, Maikel",Maikel Garcia,672580,2023,23,101.5,3.86,1989,515
"India, Jonathan",Jonathan India,663697,2023,26,99.7,4.17,2205,529
"Volpe, Anthony",Anthony Volpe,683011,2023,22,99.5,3.89,2335,601
"Schwarber, Kyle",Kyle Schwarber,656941,2023,30,103.4,4.26,3068,720
"France, Ty",Ty France,664034,2023,28,99.3,3.65,2425,665
"Goldschmidt, Paul",Paul Goldschmidt,502671,2023,35,102.4,4.14,2847,687
"Betts, Mookie",Mookie Betts,605141,2023,30,100.9,3.91,2712,693
"Nimmo, Brandon",Brandon Nimmo,607043,2023,30,101.5,4.17,2847,682
"Stephenson, Tyler",Tyler Stephenson,663886,2023,26,100.0,3.97,2051,517
"Contreras, William",William Contreras,661388,2023,25,103.2,3.96,2419,611
"Díaz, Yandy",Yandy Díaz,650490,2023,31,104.3,3.93,2357,600
"Profar, Jurickson",Jurickson Profar,595777,2023,30,97.2,4.04,2104,521
"Kim, Ha-Seong",Ha-Seong Kim,673490,2023,27,96.6,4.36,2727,626
"Henderson, Gunnar",Gunnar Henderson,683002,2023,22,102.7,3.87,2405,622
"Torres, Gleyber",Gleyber Torres,650402,2023,26,99.6,3.94,2647,672
"De La Cruz, Bryan",Bryan De La Cruz,650559,2023,26,100.3,3.94,2467,626
"Steer, Spencer",Spencer Steer,668715,2023,25,99.2,4.04,2684,665
"Suzuki, Seiya",Seiya Suzuki,673548,2023,28,102.2,4.19,2445,583
