Name,player_id,year,team,runner_runs
Luis Rengifo,,2023,LAA,0.8687240744
Joc Pederson,,2023,SF,0.9111686989
Kyle Isbel,,2023,KC,2.217549595
Alec Burleson,,2023,STL,-1.651432307
Byron Buxton,,2023,MIN,2.472208683
Trey Mancini,,2023,CHC,-1.711107047
Nick Senzel,,2023,CIN,1.457281261
Elias Díaz,553869,2023,COL,-1.077517927
Jesús Sánchez,,2023,MIA,0.2174796237
Lourdes Gurriel Jr.,666971,2023,AZ,0.05695218734
Willson Contreras,,2023,STL,-0.4886279829
Yordan Alvarez,,2023,HOU,-3.424433908
Brandon Lowe,,2023,TB,0.6605930169
Seiya Suzuki,673548,2023,CHC,0.9218076045
Jonah Heim,,2023,TEX,-0.1941961435
LaMonte Wade Jr.,664774,2023,SF,-0.6929317067
William Contreras,661388,2023,MIL,-1.082766559
Randy Arozarena,668227,2023,TB,1.788496847
Triston Casas,671213,2023,BOS,-1.923813672
Orlando Arcia,606115,2023,ATL,-1.49497724
Owen Miller,,2023,MIL,0.1601499578
Anthony Volpe,683011,2023,NYY,1.642430898
Max Muncy,571970,2023,LAD,0.6007012827
Alex Verdugo,657077,2023,BOS,0.8394789199
Whit Merrifield,593160,2023,TOR,1.429771553
Jacob Stallings,,2023,MIA,-2.686046158
Jace Peterson,,2023,MLB,0.7840857225
Bryan De La Cruz,650559,2023,MIA,-3.036311788
Corey Seager,608369,2023,TEX,-1.824824803
Jon Berti,,2023,MIA,2.205982496
Javier Báez,595879,2023,DET,0.7271894922
Corey Julks,,2023,HOU,0.01864840384
Mitch Garver,,2023,TEX,-1.19537327
Jake Cronenworth,630105,2023,SD,2.504734253
Ryan McMahon,641857,2023,COL,-0.8490494669
Andrew Vaughn,683734,2023,CWS,-3.420491499
Cavan Biggio,,2023,TOR,0.4296380103
Bryson Stott,681082,2023,PHI,1.26283158
Manny Machado,592518,2023,SD,-1.091087952
Paul Goldschmidt,502671,2023,STL,0.2481614828
Taylor Walls,,2023,TB,1.491019885
Luis Arraez,650333,2023,MIA,0.3127572872
Jeimer Candelario,600869,2023,MLB,-0.3441983429
Christian Yelich,592885,2023,MIL,4.246995212
Freddie Freeman,518692,2023,LAD,1.802534278
Alejandro Kirk,,2023,TOR,-5.768105288
Matt Thaiss,,2023,LAA,-1.678926789
Jack Suwinski,669261,2023,PIT,1.324306899
José Ramírez,608070,2023,CLE,0.6237154425
Thairo Estrada,642731,2023,SF,1.169208215
Alek Thomas,,2023,AZ,4.031966524
Ty France,664034,2023,SEA,-3.16565148
Elehuris Montero,,2023,COL,-0.6787663539
Masataka Yoshida,807799,2023,BOS,-2.429753059
Lane Thomas,657041,2023,WSH,0.9169252779
Andruw Monasterio,,2023,MIL,-0.5136767993
Kevin Newman,,2023,CIN,0.3079264377
J.T. Realmuto,592663,2023,PHI,-0.6495560055
Kris Bryant,,2023,COL,-1.322584479
J.P. Crawford,641487,2023,SEA,0.9113942973
J.D. Martinez,,2023,LAD,-0.3496428595
Carlos Correa,621043,2023,MIN,-1.916415619
Jake Meyers,,2023,HOU,1.147787548
Christopher Morel,,2023,CHC,2.801977549
Marcell Ozuna,542303,2023,ATL,-1.035346058
Andrew Benintendi,643217,2023,CWS,1.095194548
Michael Harris II,671739,2023,ATL,3.586707453
Pete Alonso,624413,2023,NYM,-0.005805899684
Luis Matos,,2023,SF,-0.4942419734
Luis García Jr.,,2023,WSH,0.3256970335
Stone Garrett,,2023,WSH,0.9126273773
Rafael Devers,646240,2023,BOS,-2.591232351
Francisco Alvarez,,2023,NYM,-2.54004778
Nicky Lopez,,2023,MLB,1.132050331
MJ Melendez,669004,2023,KC,2.046926133
Jake McCarthy,,2023,AZ,1.515455671
Jonathan India,663697,2023,CIN,1.74095704
Alex Kirilloff,,2023,MIN,-1.454808824
Trea Turner,607208,2023,PHI,4.562342624
Adam Frazier,,2023,BAL,1.652273737
Corbin Carroll,682998,2023,AZ,4.844880388
Enrique Hernández,571771,2023,MLB,-0.4930652114
Charlie Blackmon,,2023,COL,-1.008225201
Jazz Chisholm Jr.,,2023,MIA,1.345239739
Brian Anderson,,2023,MIL,0.2464782598
Bryan Reynolds,668804,2023,PIT,0.5317594748
Shohei Ohtani,660271,2023,LAA,2.136771769
Nico Hoerner,663538,2023,CHC,2.674439986
Ha-Seong Kim,673490,2023,SD,1.720789743
Christian Arroyo,,2023,BOS,0.7363231109
Steven Kwan,680757,2023,CLE,2.817274786
Harrison Bader,,2023,MLB,1.375574994
Fernando Tatis Jr.,665487,2023,SD,0.04047792749
Mike Moustakas,,2023,MLB,-1.292330659
Taylor Ward,,2023,LAA,-0.9194686443
Geraldo Perdomo,,2023,AZ,1.367388069
Salvador Perez,521692,2023,KC,-4.245901803
Wilmer Flores,,2023,SF,-2.229230694
Eddie Rosario,592696,2023,ATL,0.01237725102
George Springer,543807,2023,TOR,-0.9329762792
Yainer Diaz,,2023,HOU,-1.140437875
James Outman,681546,2023,LAD,2.688392233
Bobby Witt Jr.,677951,2023,KC,5.293586135
Mauricio Dubón,,2023,HOU,0.941547351
Zach Neto,,2023,LAA,-0.03000606185
Tommy Pham,,2023,MLB,0.3403846281
Ezequiel Tovar,678662,2023,COL,0.009099749756
Starling Marte,,2023,NYM,1.201179384
Donovan Solano,,2023,MIN,-1.893268302
Michael Conforto,,2023,SF,-0.9801647256
Francisco Lindor,596019,2023,NYM,0.4912729207
Nolan Arenado,571448,2023,STL,-0.3985229086
Willi Castro,,2023,MIN,1.371505674
Kyle Schwarber,656941,2023,PHI,-2.317239018
Trent Grisham,663757,2023,SD,0.7202751076
José Abreu,547989,2023,HOU,-1.085960553
Nick Castellanos,592206,2023,PHI,-3.070637865
Ketel Marte,606466,2023,AZ,0.534414487
Brett Baty,,2023,NYM,-0.3075581022
Joey Wiemer,,2023,MIL,0.7724546045
Josh Naylor,,2023,CLE,-1.619608041
Daulton Varsho,662139,2023,TOR,3.022532086
Mickey Moniak,,2023,LAA,1.115677503
Andy Ibáñez,,2023,DET,-0.2427571747
Lars Nootbaar,663457,2023,STL,1.174016199
Josh Rojas,,2023,MLB,0.7751210262
Alec Bohm,664761,2023,PHI,-2.538257493
Edouard Julien,,2023,MIN,-0.8397480208
Justin Turner,457759,2023,BOS,-4.348310312
Josh Jung,673962,2023,TEX,-1.499534249
Edmundo Sosa,,2023,PHI,1.115989156
Maikel Garcia,672580,2023,KC,0.7517688203
Brandon Nimmo,607043,2023,NYM,-1.281465703
Brandon Belt,,2023,TOR,-1.349954234
Tim Anderson,641313,2023,CWS,0.8595107793
Eugenio Suárez,553993,2023,SEA,-1.096060086
Riley Greene,,2023,DET,1.458532963
Emmanuel Rivera,,2023,AZ,-0.5131548215
Connor Joe,,2023,PIT,-0.3277950297
Will Brennan,,2023,CLE,-0.9243363819
Anthony Rizzo,,2023,NYY,-1.487031706
Kerry Carpenter,,2023,DET,-0.2169715631
TJ Friedl,670770,2023,CIN,4.293358871
Will Smith,669257,2023,LAD,-0.5089249675
Josh Lowe,,2023,TB,0.5065496122
Jorge Polanco,,2023,MIN,-0.3141970334
Bryce Harper,547180,2023,PHI,-0.02348417932
Isaac Paredes,670623,2023,TB,-0.9941143965
Mookie Betts,605141,2023,LAD,0.6649346144
Jarren Duran,,2023,BOS,3.864602059
Myles Straw,664702,2023,CLE,2.808517005
Amed Rosario,642708,2023,MLB,-0.6073778237
Ji Hwan Bae,,2023,PIT,2.555368383
Akil Baddoo,,2023,DET,2.669934926
Elly De La Cruz,,2023,CIN,3.702618878
Michael Massey,,2023,KC,1.250997101
Brice Turang,,2023,MIL,0.2468146579
Jeremy Peña,665161,2023,HOU,3.104260782
Ronald Acuña Jr.,660670,2023,ATL,1.859232733
Anthony Santander,623993,2023,BAL,-0.1572452019
Ryan Jeffers,,2023,MIN,-1.092662656
Miguel Vargas,,2023,LAD,0.7182018182
Ozzie Albies,645277,2023,ATL,2.272937259
Ramón Laureano,,2023,MLB,-1.396618509
Aaron Judge,,2023,NYY,-1.626828451
